DR,A%,DF%,1stIn,1st%,2nd%
1.75,10.9%,0.0%,54.3%,76.0%,71.4%
0.99,6.3%,1.8%,63.4%,70.4%,56.1%
1.15,2.9%,2.9%,44.9%,74.2%,60.5%
1.30,1.7%,5.1%,59.3%,80.0%,41.7%
1.33,1.5%,1.5%,53.7%,75.0%,58.1%
2.39,22.5%,7.5%,55.0%,95.5%,61.1%
1.57,13.0%,4.3%,58.7%,66.7%,68.4%
0.86,3.6%,6.4%,56.4%,66.1%,41.7%
2.39,4.3%,0.0%,41.3%,84.2%,77.8%
1.96,4.5%,2.3%,47.7%,76.2%,69.6%
0.68,7.3%,1.8%,67.3%,43.2%,44.4%
2.20,0.0%,0.0%,53.3%,81.3%,78.6%
2.74,2.7%,0.0%,45.9%,82.4%,75.0%
0.79,2.8%,0.0%,64.1%,57.1%,43.1%
1.63,5.0%,0.0%,52.5%,85.7%,73.7%
1.17,4.6%,1.9%,62.0%,68.7%,48.8%
0.85,2.1%,3.1%,67.7%,55.4%,51.6%
0.60,7.9%,0.0%,61.9%,43.6%,70.8%
1.35,8.3%,3.3%,50.0%,60.0%,50.0%
0.70,5.2%,5.2%,60.3%,65.7%,39.1%
1.21,18.1%,4.8%,63.9%,77.4%,50.0%
1.42,5.1%,3.8%,55.7%,72.7%,68.6%
0.95,2.3%,2.3%,59.3%,74.5%,45.7%
1.37,3.8%,5.7%,69.8%,75.7%,37.5%
1.13,1.1%,0.0%,82.2%,67.6%,50.0%
0.87,2.2%,4.3%,77.2%,60.6%,42.9%
1.79,2.1%,0.0%,70.2%,63.6%,78.6%
1.24,4.8%,1.6%,79.4%,68.0%,69.2%
0.88,1.8%,0.0%,67.9%,52.6%,38.9%
1.14,1.5%,1.5%,68.2%,60.0%,61.9%
0.78,0.0%,3.7%,75.9%,41.5%,38.5%
1.69,0.0%,0.0%,79.6%,69.8%,81.8%
1.18,3.8%,2.8%,76.4%,61.7%,68.0%
1.40,1.1%,3.4%,75.9%,72.7%,57.1%
1.27,0.0%,1.2%,66.7%,61.1%,59.3%
1.32,4.3%,3.2%,66.7%,72.6%,58.1%
0.55,1.6%,3.2%,66.1%,65.9%,42.9%
0.63,2.3%,11.4%,43.2%,42.1%,24.0%
1.11,0.0%,5.6%,56.7%,49.0%,66.7%
0.35,0.0%,3.4%,56.9%,60.6%,32.0%
0.97,2.4%,6.3%,66.9%,68.2%,52.4%
0.82,0.0%,6.6%,55.7%,67.6%,40.7%
0.84,5.0%,2.0%,56.0%,69.6%,50.0%
0.80,7.7%,4.4%,61.5%,64.3%,40.0%
0.87,3.4%,0.0%,57.6%,70.6%,44.0%
1.29,3.9%,5.3%,56.6%,79.1%,48.5%
1.09,2.7%,1.4%,61.6%,73.3%,71.4%
1.19,1.1%,1.1%,60.7%,75.9%,54.3%
1.53,2.2%,4.3%,60.9%,60.7%,61.1%
0.69,2.4%,0.0%,68.3%,55.4%,46.2%
1.31,4.3%,5.8%,59.4%,85.4%,53.6%
0.68,0.0%,9.5%,63.5%,62.5%,30.4%
1.51,1.7%,3.4%,57.6%,73.5%,68.0%
0.83,3.3%,6.6%,54.9%,70.0%,46.3%
1.17,5.9%,1.5%,50.0%,76.5%,61.8%
1.40,3.0%,4.0%,52.0%,82.7%,62.5%
0.72,4.8%,6.0%,60.7%,66.7%,33.3%
6.75,0.0%,3.7%,55.6%,100.0%,75.0%
0.87,2.2%,4.3%,69.9%,47.7%,46.4%
